Frame Time,Row,Column,Well,ImageRep,UniqueID,Flask ID,CellCount.BF.Count,Cell Count,Treatment,Day,Note
02:18.4,G,2,G2,2,G2-2,T2,16,1600,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:19.0,G,2,G2,3,G2-3,T2,2,200,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:19.7,G,2,G2,4,G2-4,T2,6,600,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:20.2,G,2,G2,5,G2-5,T2,0,0,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:21.6,G,3,G3,1,G3-1,T3,0,0,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:22.2,G,3,G3,2,G3-2,T3,0,0,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:22.9,G,3,G3,3,G3-3,T3,12,1200,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:23.4,G,3,G3,4,G3-4,T3,12,1200,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:24.0,G,3,G3,5,G3-5,T3,2,200,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:25.5,G,4,G4,1,G4-1,T4,7,700,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:26.1,G,4,G4,2,G4-2,T4,0,0,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:26.7,G,4,G4,3,G4-3,T4,2,200,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:27.3,G,4,G4,4,G4-4,T4,1,100,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:28.0,G,4,G4,5,G4-5,T4,3,300,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:29.4,G,5,G5,1,G5-1,T5,0,0,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:30.0,G,5,G5,2,G5-2,T5,0,0,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:30.7,G,5,G5,3,G5-3,T5,0,0,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
